who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
44544506,,,,,,,,,0
44544506,Central Election Commission (Taiwan),Chairperson of Central Election Commission of the Republic of China,2019-02-25,,Chen In-chin,Chen In-chin Chen Chao-chien (acting),,,1
44544506,Central Election Commission (Taiwan),Chairperson of Central Election Commission of the Republic of China,2019-02-25,,Chen Chao-chien,Chen In-chin Chen Chao-chien (acting),,,2
44544506,Republic of China,Chairperson of Central Election Commission of the Republic of China,2019-02-25,,Chen In-chin,Chen In-chin Chen Chao-chien (acting),,,3
44544506,Republic of China,Chairperson of Central Election Commission of the Republic of China,2019-02-25,,Chen Chao-chien,Chen In-chin Chen Chao-chien (acting),,,4
44544506,List of county magistrates of Yunlin,Magistrate of Yunlin County,2014-12-25,2018-12-25,Q8350160,Su Chih-fen,Q8273132,Chang Li-shan,5
44544506,Yunlin County,Magistrate of Yunlin County,2014-12-25,2018-12-25,Q8350160,Su Chih-fen,Q8273132,Chang Li-shan,6
44544506,,,,,Chang Jung-wei,Chang Jung-wei,Q8350160,Su Chih-fen,7
44544506,Mayor of Keelung,Mayor of Keelung City,1997-12-20,2001-12-20,Lin Shui-mu,Lin Shui-mu,Hsu Tsai-li,Hsu Tsai-li,8
44544506,Keelung City,Mayor of Keelung City,1997-12-20,2001-12-20,Lin Shui-mu,Lin Shui-mu,Hsu Tsai-li,Hsu Tsai-li,9
44544506,Legislative Yuan,Member of the Legislative Yuan,1993-02-01,1997-12-20,,,Ho Sheng-lung,Ho Sheng-lung,10
