wpid,wpdobstr,wpdob
1607714,"October 31, 1954",1954-10-31
16491946,"December 23, 1964",1964-12-23
1721497,18 April 1981,1981-04-18
22609914,"October 6, 1959",1959-10-06
333404,"July 28, 1947",1947-07-28
349072,"April 25, 1948",1948-04-25
4087894,"August 31, 1956",1956-08-31
42096941,"July 27, 1951",1951-07-27
43919669,"August 6, 1959",1959-08-06
44544506,"August 1, 1951",1951-08-01
48287259,"June 7, 1957",1957-06-07
49294603,"April 16, 1969",1969-04-16
49592429,"August 30, 1956",1956-08-30
50245565,"November 28, 1962",1962-11-28
50245731,"December 2, 1960",1960-12-02
50245858,"May 30, 1955",1955-05-30
50257918,"November 25, 1945",1945-11-25
50838761,1959,1959
51070530,"August 10, 1958",1958-08-10
51321760,1955 (age 67),1955
52375627,"April 12, 1953",1953-04-12
55167496,"December 12, 1966",1966-12-12
56424779,"June 5, 1953",1953-06-05
56690441,"September 21, 1965",1965-09-21
57159541,"January 17, 1969",1969-01-17
59578078,1966,1966
59947756,"March 22, 1956",1956-03-22
64010859,"April 22, 1963",1963-04-22
793648,"October 15, 1949",1949-10-15
