item,itemLabel,startDate,endDate,sourceDate,psid
Q8273004,Chen Chien-jen,1999-11-30,2000-05-20,2022-08-16,Q8273004-3C14F63E-AEA2-470B-A386-C9C498137772
Q9317972,Tien Hung-mao,2000-05-20,2002-02-01,2022-08-16,Q9317972-1E3D2BF5-C179-40F9-A69F-B33FFCB6BA0A
Q866951,Eugene Chien (Chien You-hsin),2002-02-01,2004-04-16,2022-08-16,Q866951-CCA6CDD4-2BFC-4257-81C6-0DC3E51DD3E4
Q707648,Mark Chen (Chen Tang-shan),2004-04-16,2006-01-25,2022-08-16,Q707648-8bce19cc-4fef-8992-bc64-aee1fd661ed5
Q715504,James Huang (Huang Chih-Fang),2006-01-25,2008-05-05,2022-08-16,Q715504-950FEAE1-8525-42DD-84CD-17FF9FEA38A0
Q9076050,Yang Tzu-pao,2008-05-06,2008-05-19,2022-08-16,Q9076050-99E7FBC5-DF18-4F78-A2C7-49FAA2961722
Q715476,Francisco Ou (Ou-Hung-lian),2008-05-20,2009-09-10,2022-08-16,Q715476-FC9477B2-E65E-41D3-A323-94FE1B0958B3
Q58182,Timothy Yang (Yang Chin-tien),2009-09-10,2012-09-26,2022-08-16,Q58182-69AC6667-68A3-4B7F-9744-9D55B9CA5025
Q5236615,David Lin (Lin Yung-Lo),2012-09-27,2016-05-20,2022-08-16,Q5236615-4FF46194-03EF-4BD3-8BA0-0FB7C79244A6
Q5236438,David Lee (Lee Ta-wei),2016-05-20,2018-02-25,2022-08-16,Q5236438-ea9871a0-9ccb-4c83-906c-6cc12b44d502
Q6288088,Joseph Wu (Wu Jaushieh),2018-02-26,,2022-08-16,Q6288088-8837156E-813B-4F46-A2F5-2D432F3EB6F0
