item,itemLabel,startDate,endDate,sourceDate,psid
Q8965733,Fan Kuang-chun,2001-06-14,2002-01-31,2022-11-18,Q8965733-6BE4446E-0FA3-4B21-B57D-37AA456A2574
Q6148708,Yeh Chu-lan,2002-02-01,2004-05-19,2022-11-18,Q6148708-D17DC6A7-F8C0-4F76-A42C-CED10D727BEA
Q6704543,Luo Wen-jia,2004-05-20,2005-03-14,2022-11-18,Q6704543-5ED66D68-47C9-4C88-985B-3DED11073F43
Q9206928,Lee Yung-te,2005-03-15,2008-05-19,,Q9206928-2A173C6C-8B56-4F11-93DA-CD7B74E2B770
Q8274112,Huang Yu-cheng,2008-05-20,2014-07-01,,Q8274112-E566C3A4-2477-4BFC-9221-B566AAB5C6F1
Q17466399,Liu Ching-chung,2014-07-01,2014-07-29,,Q17466399-06C94602-14A8-41B0-A490-F20DCEE76AF3
Q17466399,Liu Ching-chung,2014-07-30,2016-01-31,,Q17466399-5ACED785-FB2F-48DE-B5F5-294D5FBE004C
Q16239501,Chung Wan-mei,2016-02-01,2016-05-19,2022-11-18,Q16239501-7940E8A5-4430-442E-B3BC-F3B9ABF50C64
Q9206928,Lee Yung-te,2016-05-20,2020-05-19,,Q9206928-6202958B-FCE3-4989-8422-FF1AE2DCCE80
Q8350699,Yiong Con-ziin,2020-05-20,,,Q8350699-2387BFA8-2266-4737-9AAC-B613C5DD6EB9
