item,itemLabel,startDate,endDate,sourceDate,psid
Q65051936,Lee Cheng-lin,1999-02-01,2000-05-19,2022-11-26,Q65051936-B3533D1C-B252-4EAA-9E42-F01D5CB3FA9B
Q9076084,Yang Te-chih,2000-05-20,2003-02-05,2022-11-26,Q9076084-D3A0FC4D-A0A4-4E4C-80BF-E4024A51A6A2
Q16242317,Teng Tsu-lin,2003-02-06,2004-05-19,2022-11-26,Q16242317-3A3842B6-4CDD-4F62-8F47-764CF5562EFE
Q8273357,Kao Hua-chu,2004-05-20,2007-01-31,2022-11-26,Q8273357-B1F32E76-179F-45BE-8175-B4C328E5542A
Q8272451,Hu Chen-pu,2007-02-01,2008-05-19,2022-11-26,Q8272451-A547E992-AF96-4F0F-A864-1AA2D43C64FD
Q8273357,Kao Hua-chu,2008-05-20,2009-09-09,2022-11-26,Q8273357-13EB8364-6AF7-422D-BD40-207129114D00
Q7849530,Tseng Jing-ling,2009-09-10,2013-07-31,2022-11-26,Q7849530-5F3A80B2-3DF3-44CD-843C-2E40A3878452
Q10513434,Tung Hsiang-lung,2013-08-01,2016-05-19,2022-11-26,Q10513434-9C7F4296-9065-4D38-B1A4-D2A5ABC92BB6
Q15901599,Lee Hsiang-chou,2016-05-20,2018-02-25,2022-11-26,Q15901599-1AAA2DCD-CB87-4CD9-AAE4-0536B257B60E
Q19825815,Chiu Kuo-cheng,2018-02-26,2019-07-23,,Q19825815-83E1ADD6-EFD2-4000-ABA6-260E9BBECAFA
Q8357143,Lee Wen-chung,2019-07-26,2019-08-04,2022-11-26,Q8357143-9D5B2A0F-7624-4145-8D72-F311E94FDCED
Q23894469,Feng Shih-kuan,2019-08-05,,,Q23894469-EF627A79-82D3-4B5D-B3F4-36A99F0C3AF7
