item,itemLabel,startDate,endDate,sourceDate,psid
Q556828,Liu Chao-shiuan,1997-12-11,2000-05-20,,Q556828-8f3dfb24-4693-6bfe-bdc1-c06af7533355
Q707887,Yu Shyi-kun,2000-05-20,2000-07-27,,Q707887-0F3015E7-4544-4CB9-8E7D-0083BF77E562
Q716710,Chang Chun-hsiung,2000-07-27,2000-10-06,2022-08-16,Q716710-EA2A0143-D190-461D-B3FD-22AF322666A9
Q6473605,Lai In-jaw,2000-10-06,2002-02-01,2022-08-16,Q6473605-284DF8A6-E9C0-48B0-BE2A-C06C1CFAEA43
Q6550038,Lin Hsin-i,2002-02-01,2004-05-20,2022-08-16,Q6550038-72988043-6A25-408F-AC38-7A79CA48065E
Q6148708,Yeh Chu-lan,2004-05-20,2005-02-01,2022-08-16,Q6148708-91F1A616-232A-4215-9D79-C1E464BECD08
Q9185489,Wu Rong-i,2005-02-01,2006-01-25,2022-08-16,Q9185489-8C2F8AC6-6110-4E8B-BBCD-13D36E7DFABE
Q233984,Tsai Ing-wen,2006-01-25,2007-05-21,2022-08-16,Q233984-D1241F92-B10D-422D-9E3D-36FBA35E7E7F
Q5101463,Chiou I-jen,2007-05-21,2008-05-06,2022-08-16,Q5101463-AE809C70-D2F7-437A-BCD8-914E0278F7FB
Q716710,Chang Chun-hsiung,2008-05-06,2008-05-20,2022-08-16,Q716710-B85A3D49-9F19-40BF-8606-1E0667789C44
Q8273178,Chiu Chang-hsiung (Paul Chiu),2008-05-20,2009-09-10,2022-08-16,Q8273178-6AAB2CDD-014C-467F-ACE2-33AA0BD6EFEB
Q5386280,Chu Li-luan (Eric Chu),2009-09-10,2010-05-17,2022-08-16,Q5386280-4f4b3bf7-4a1e-73f5-d9c2-2e8fdf8e88aa
Q281540,Chen Chun (Sean Chen),2010-05-17,2012-02-06,2022-08-16,Q281540-002db19d-47c6-923e-36e4-4a1df39660ca
Q4118817,Jiang Yi-huah,2012-02-06,2013-02-18,,Q4118817-c7d65d1e-471a-efa4-a7b2-d7131b6d2375
Q6753581,Mao Chi-kuo,2013-02-18,2014-12-07,,Q6753581-2ef41a88-4763-98b0-f450-aa217510892e
Q10294207,Chang San-cheng (Simon Chang),2014-12-07,2016-01-02,2022-08-16,Q10294207-8bd26faf-45f5-756a-78a5-f883a0511a80
Q11099334,Duh Tyzz-jiun (Woody Duh),2016-02-01,2016-05-20,2022-08-16,Q11099334-a6097b35-417a-e9e0-f901-61d1134d874d
Q8349604,Lin Hsi-yao,2016-05-20,2017-09-07,,Q8349604-8f187b27-48fa-bf91-4e84-897a84a80306
Q9184683,Shih Jun-ji,2017-09-08,2019-01-14,,Q9184683-9542fb02-4e44-30d6-bbd3-30adc2965d9b
Q5090717,Chen Chi-mai,2019-01-14,2020-06-19,,Q5090717-85e560bd-46cb-b049-43ee-267089ef1315
Q16150359,Shen Jong-chin,2020-06-19,,,Q16150359-61eca660-4d57-5e9c-5948-cae40b1daf3f
